"origin","destination","distance","time"
"52.4560568807875, 13.3179764724459","52.5176913, 13.4419715",14201,3333
"52.4560568807875, 13.3179764724459","52.517699, 13.3970326",11040,2685
"52.4560568807875, 13.3179764724459","52.5303108, 13.3186121",15918,3421
"52.4560568807875, 13.3179764724459","52.5146378, 13.3905283",10867,2347
"52.4560568807875, 13.3179764724459","52.5145186, 13.487322",17455,3974
"52.4560568807875, 13.3179764724459","52.5170316, 13.4012274",10177,3213
"52.4560568807875, 13.3179764724459","52.5207714, 13.3889021",10241,2031
"52.4560568807875, 13.3179764724459","52.5027268, 13.4453492",15844,3515
"52.4560568807875, 13.3179764724459","52.5284267, 13.3720175",10955,3171
"52.4560568807875, 13.3179764724459","52.5209131, 13.3871461",10109,1935
"52.4560568807875, 13.3179764724459","52.5304903, 13.3791152",12475,2733
"52.4560568807875, 13.3179764724459","52.4864896, 13.4217418",10969,2923
"52.4560568807875, 13.3179764724459","52.5215057, 13.4069139",12220,2577
"52.4560568807875, 13.3179764724459","52.5174377, 13.3898033",9927,2224
"52.4560568807875, 13.3179764724459","52.5111669, 13.4430356",15063,3381
"52.4560568807875, 13.3179764724459","52.5076615, 13.454537",15789,3451
"52.4560568807875, 13.3179764724459","52.5121441, 13.3083771",10233,2883
"52.4560568807875, 13.3179764724459","52.5087884, 13.378434",8628,1839
"52.4560568807875, 13.3179764724459","52.5019061, 13.3308361",6146,2324
"52.4560568807875, 13.3179764724459","52.5088651, 13.2707514",12941,3373
"52.4560568807875, 13.3179764724459","52.5264743, 13.39691",11343,2463
"52.4560568807875, 13.3179764724459","52.5106807, 13.419484",13644,2980
"52.4560568807875, 13.3179764724459","52.4602228, 13.5056519",16060,3795
"52.4560568807875, 13.3179764724459","52.474199, 13.141735",28971,6044
"52.4560568807875, 13.3179764724459","52.5021802, 13.364582",6736,2041
"52.4560568807875, 13.3179764724459","52.5205791, 13.4089041",12114,2469
"52.4560568807875, 13.3179764724459","52.4986678, 13.3566505",6221,1981
"52.4560568807875, 13.3179764724459","52.520848, 13.4084747",12117,2471
"52.4560568807875, 13.3179764724459","52.49694, 13.4540533",15317,3297
"52.4560568807875, 13.3179764724459","52.4840199, 13.4053429",8190,2719
"52.4560568807875, 13.3179764724459","52.5049039, 13.4431471",15856,3512
"52.4560568807875, 13.3179764724459","52.524042, 13.402083",11468,2352
"52.4560568807875, 13.3179764724459","52.5071871, 13.390676",8619,2224
"52.4560568807875, 13.3179764724459","52.4583565, 13.2889441",2457,860
"52.4560568807875, 13.3179764724459","52.5112074, 13.4169157",13371,2754
"52.4560568807875, 13.3179764724459","52.440493, 13.3911183",9586,2362
"52.4305646871818, 13.3047374365321","52.5075075, 13.3903737",12500,2672
"52.4305646871818, 13.3047374365321","52.5542753, 13.3785425",18442,4093
"52.4305646871818, 13.3047374365321","52.5063, 13.3840159",11979,2490
"52.4305646871818, 13.3047374365321","52.5206458, 13.2932877",14929,3589
"52.4305646871818, 13.3047374365321","52.5239216, 13.3888786",14343,2789
"52.4305646871818, 13.3047374365321","52.5168416, 13.3816742",13419,2441
"52.4305646871818, 13.3047374365321","52.5040556, 13.3379413",10655,3034
"52.4305646871818, 13.3047374365321","52.5090125, 13.3792937",12538,2441
"52.4305646871818, 13.3047374365321","52.4983661, 13.3605076",9542,2464
"52.4305646871818, 13.3047374365321","52.5478117, 13.3892456",18266,3133
"52.4305646871818, 13.3047374365321","52.5046782, 13.4490212",19291,3601
"52.4305646871818, 13.3047374365321","52.5136642, 13.4727613",20139,3522
"52.4305646871818, 13.3047374365321","52.5016098, 13.381181",11678,2249
"52.4305646871818, 13.3047374365321","52.5214137, 13.4034811",15310,3075
"52.4305646871818, 13.3047374365321","52.5176913, 13.4419715",18048,3753
"52.4305646871818, 13.3047374365321","52.517699, 13.3970326",13548,4245
"52.4305646871818, 13.3047374365321","52.5303108, 13.3186121",15678,4184
"52.4305646871818, 13.3047374365321","52.5146378, 13.3905283",13914,2979
"52.4305646871818, 13.3047374365321","52.5145186, 13.487322",21106,4397
"52.4305646871818, 13.3047374365321","52.5170316, 13.4012274",13635,4083
"52.4305646871818, 13.3047374365321","52.5207714, 13.3889021",14088,2601
"52.4305646871818, 13.3047374365321","52.5027268, 13.4453492",18981,5252
"52.4305646871818, 13.3047374365321","52.5284267, 13.3720175",14413,3801
"52.4305646871818, 13.3047374365321","52.5209131, 13.3871461",13956,2505
"52.4305646871818, 13.3047374365321","52.5304903, 13.3791152",15022,3863
"52.4305646871818, 13.3047374365321","52.4864896, 13.4217418",19545,3808
"52.4305646871818, 13.3047374365321","52.5215057, 13.4069139",16067,3297
"52.4305646871818, 13.3047374365321","52.5174377, 13.3898033",13774,2794
"52.4305646871818, 13.3047374365321","52.5111669, 13.4430356",19946,4136
"52.4305646871818, 13.3047374365321","52.5076615, 13.454537",19636,3871
"52.4305646871818, 13.3047374365321","52.5121441, 13.3083771",13787,3538
"52.4305646871818, 13.3047374365321","52.5087884, 13.378434",12475,2409
"52.4305646871818, 13.3047374365321","52.5019061, 13.3308361",9701,2979
"52.4305646871818, 13.3047374365321","52.5088651, 13.2707514",16495,4028
"52.4305646871818, 13.3047374365321","52.5264743, 13.39691",15190,3033
"52.4305646871818, 13.3047374365321","52.5106807, 13.419484",14738,4279
"52.4305646871818, 13.3047374365321","52.4602228, 13.5056519",19879,4397
"52.4305646871818, 13.3047374365321","52.474199, 13.141735",38256,6017
"52.4305646871818, 13.3047374365321","52.5021802, 13.364582",10290,2696
"52.4305646871818, 13.3047374365321","52.5205791, 13.4089041",15961,3189
"52.4305646871818, 13.3047374365321","52.4986678, 13.3566505",9775,2636
"52.4305646871818, 13.3047374365321","52.520848, 13.4084747",15964,3191
"52.4305646871818, 13.3047374365321","52.49694, 13.4540533",18086,3762
"52.4305646871818, 13.3047374365321","52.4840199, 13.4053429",11647,3709
"52.4305646871818, 13.3047374365321","52.5049039, 13.4431471",18985,5246
"52.4305646871818, 13.3047374365321","52.524042, 13.402083",15315,3072
"52.4305646871818, 13.3047374365321","52.5071871, 13.390676",12463,2644
"52.4305646871818, 13.3047374365321","52.4583565, 13.2889441",4435,1211
"52.4305646871818, 13.3047374365321","52.5112074, 13.4169157",14527,4103
"52.4305646871818, 13.3047374365321","52.440493, 13.3911183",9917,2504
"52.4284790531039, 13.6802817048744","52.5075075, 13.3903737",29150,4863
"52.4284790531039, 13.6802817048744","52.5542753, 13.3785425",30249,5062
"52.4284790531039, 13.6802817048744","52.5063, 13.3840159",30348,5378
"52.4284790531039, 13.6802817048744","52.5239216, 13.3888786",27794,4484
"52.4284790531039, 13.6802817048744","52.5168416, 13.3816742",28119,4717
"52.4284790531039, 13.6802817048744","52.5040556, 13.3379413",33064,5226
"52.4284790531039, 13.6802817048744","52.5090125, 13.3792937",29305,5077
"52.4284790531039, 13.6802817048744","52.4983661, 13.3605076",31652,5778
"52.4284790531039, 13.6802817048744","52.5478117, 13.3892456",29338,4742
"52.4284790531039, 13.6802817048744","52.5046782, 13.4490212",22429,3609
"52.4284790531039, 13.6802817048744","52.5136642, 13.4727613",25337,4387
"52.4284790531039, 13.6802817048744","52.5016098, 13.381181",30046,5137
"52.4284790531039, 13.6802817048744","52.5214137, 13.4034811",26453,4115
"52.4284790531039, 13.6802817048744","52.5176913, 13.4419715",27478,4673
"52.4284790531039, 13.6802817048744","52.517699, 13.3970326",27086,4612
"52.4284790531039, 13.6802817048744","52.5303108, 13.3186121",33913,6139
"52.4284790531039, 13.6802817048744","52.5146378, 13.3905283",28067,4716
"52.4284790531039, 13.6802817048744","52.5145186, 13.487322",24924,4654
"52.4284790531039, 13.6802817048744","52.5170316, 13.4012274",27051,4613
"52.4284790531039, 13.6802817048744","52.5207714, 13.3889021",27467,4217
"52.4284790531039, 13.6802817048744","52.5027268, 13.4453492",22829,3942
"52.4284790531039, 13.6802817048744","52.5284267, 13.3720175",29265,4680
"52.4284790531039, 13.6802817048744","52.5209131, 13.3871461",27391,4138
"52.4284790531039, 13.6802817048744","52.5304903, 13.3791152",28478,5082
"52.4284790531039, 13.6802817048744","52.4864896, 13.4217418",28727,5088
"52.4284790531039, 13.6802817048744","52.5215057, 13.4069139",25887,4115
"52.4284790531039, 13.6802817048744","52.5174377, 13.3898033",27785,4465
"52.4284790531039, 13.6802817048744","52.5111669, 13.4430356",23071,4110
"52.4284790531039, 13.6802817048744","52.5076615, 13.454537",22760,3845
"52.4284790531039, 13.6802817048744","52.5121441, 13.3083771",34635,5673
"52.4284790531039, 13.6802817048744","52.5087884, 13.378434",29297,5045
"52.4284790531039, 13.6802817048744","52.5019061, 13.3308361",32995,5164
"52.4284790531039, 13.6802817048744","52.5088651, 13.2707514",39123,6078
"52.4284790531039, 13.6802817048744","52.5264743, 13.39691",27102,4630
"52.4284790531039, 13.6802817048744","52.5106807, 13.419484",25300,4282
"52.4284790531039, 13.6802817048744","52.4602228, 13.5056519",16022,3265
"52.4284790531039, 13.6802817048744","52.474199, 13.141735",56115,9374
"52.4284790531039, 13.6802817048744","52.5021802, 13.364582",32908,5763
"52.4284790531039, 13.6802817048744","52.5205791, 13.4089041",25781,4007
"52.4284790531039, 13.6802817048744","52.4986678, 13.3566505",34568,5919
"52.4284790531039, 13.6802817048744","52.520848, 13.4084747",25784,4009
"52.4284790531039, 13.6802817048744","52.49694, 13.4540533",22723,4562
"52.4284790531039, 13.6802817048744","52.4840199, 13.4053429",28436,5586
"52.4284790531039, 13.6802817048744","52.5049039, 13.4431471",22834,3929
"52.4284790531039, 13.6802817048744","52.524042, 13.402083",26457,4112
"52.4284790531039, 13.6802817048744","52.5071871, 13.390676",29112,4833
"52.4284790531039, 13.6802817048744","52.4583565, 13.2889441",40374,7029
"52.4284790531039, 13.6802817048744","52.5112074, 13.4169157",25027,4056
"52.4284790531039, 13.6802817048744","52.440493, 13.3911183",36799,5871
"52.4005403634718, 13.583374948474","52.5075075, 13.3903737",24123,4359
"52.4005403634718, 13.583374948474","52.5542753, 13.3785425",25675,4558
"52.4005403634718, 13.583374948474","52.5063, 13.3840159",39592,3844
"52.4005403634718, 13.583374948474","52.5206458, 13.2932877",34133,5220
"52.4005403634718, 13.583374948474","52.5239216, 13.3888786",22792,4001
"52.4005403634718, 13.583374948474","52.5168416, 13.3816742",23092,4183
"52.4005403634718, 13.583374948474","52.5040556, 13.3379413",27646,4788
"52.4005403634718, 13.583374948474","52.5090125, 13.3792937",39115,3476
"52.4005403634718, 13.583374948474","52.4983661, 13.3605076",27477,5059
"52.4005403634718, 13.583374948474","52.5478117, 13.3892456",24715,4003
"52.4005403634718, 13.583374948474","52.5046782, 13.4490212",17169,3255
"52.4005403634718, 13.583374948474","52.5136642, 13.4727613",17285,3218
"52.4005403634718, 13.583374948474","52.5016098, 13.381181",24878,4483
"52.4005403634718, 13.583374948474","52.5214137, 13.4034811",21208,3911
"52.4005403634718, 13.583374948474","52.5176913, 13.4419715",21940,4169
"52.4005403634718, 13.583374948474","52.517699, 13.3970326",25306,4611
"52.4005403634718, 13.583374948474","52.5303108, 13.3186121",29973,5016
"52.4005403634718, 13.583374948474","52.5146378, 13.3905283",23038,4226
"52.4005403634718, 13.583374948474","52.5145186, 13.487322",19145,3959
"52.4005403634718, 13.583374948474","52.5170316, 13.4012274",25413,4625
"52.4005403634718, 13.583374948474","52.5207714, 13.3889021",22465,3734
"52.4005403634718, 13.583374948474","52.5027268, 13.4453492",17569,3588
"52.4005403634718, 13.583374948474","52.5284267, 13.3720175",24080,4220
"52.4005403634718, 13.583374948474","52.5209131, 13.3871461",22299,3662
"52.4005403634718, 13.583374948474","52.5304903, 13.3791152",24093,4572
"52.4005403634718, 13.583374948474","52.4864896, 13.4217418",21670,4104
"52.4005403634718, 13.583374948474","52.5215057, 13.4069139",20610,3647
"52.4005403634718, 13.583374948474","52.5174377, 13.3898033",22756,3975
"52.4005403634718, 13.583374948474","52.5111669, 13.4430356",17811,3756
"52.4005403634718, 13.583374948474","52.5076615, 13.454537",17500,3491
"52.4005403634718, 13.583374948474","52.5121441, 13.3083771",33131,5631
"52.4005403634718, 13.583374948474","52.5087884, 13.378434",39062,3434
"52.4005403634718, 13.583374948474","52.5019061, 13.3308361",27652,4804
"52.4005403634718, 13.583374948474","52.5088651, 13.2707514",35766,5640
"52.4005403634718, 13.583374948474","52.5264743, 13.39691",21857,4426
"52.4005403634718, 13.583374948474","52.5106807, 13.419484",20055,4078
"52.4005403634718, 13.583374948474","52.4602228, 13.5056519",9588,2674
"52.4005403634718, 13.583374948474","52.474199, 13.141735",50683,8270
"52.4005403634718, 13.583374948474","52.5021802, 13.364582",40155,4069
"52.4005403634718, 13.583374948474","52.5205791, 13.4089041",20504,3539
"52.4005403634718, 13.583374948474","52.4986678, 13.3566505",27758,5309
"52.4005403634718, 13.583374948474","52.520848, 13.4084747",20507,3541
"52.4005403634718, 13.583374948474","52.49694, 13.4540533",17663,3862
"52.4005403634718, 13.583374948474","52.4840199, 13.4053429",23401,4695
"52.4005403634718, 13.583374948474","52.5049039, 13.4431471",17572,3575
"52.4005403634718, 13.583374948474","52.524042, 13.402083",39957,4188
"52.4005403634718, 13.583374948474","52.5071871, 13.390676",39970,4160
"52.4005403634718, 13.583374948474","52.4583565, 13.2889441",39634,5802
"52.4005403634718, 13.583374948474","52.5112074, 13.4169157",38527,4132
"52.4005403634718, 13.583374948474","52.440493, 13.3911183",19436,4625
"52.4149923219648, 13.5772419451111","52.5075075, 13.3903737",22354,3436
"52.4149923219648, 13.5772419451111","52.5542753, 13.3785425",23906,3635
"52.4149923219648, 13.5772419451111","52.5063, 13.3840159",23411,3801
"52.4149923219648, 13.5772419451111","52.5206458, 13.2932877",32364,4297
"52.4149923219648, 13.5772419451111","52.5239216, 13.3888786",21023,3078
"52.4149923219648, 13.5772419451111","52.5168416, 13.3816742",21323,3260
"52.4149923219648, 13.5772419451111","52.5040556, 13.3379413",25877,3865
"52.4149923219648, 13.5772419451111","52.5090125, 13.3792937",20944,4664
"52.4149923219648, 13.5772419451111","52.4983661, 13.3605076",23107,5032
"52.4149923219648, 13.5772419451111","52.5478117, 13.3892456",22946,3080
"52.4149923219648, 13.5772419451111","52.5046782, 13.4490212",15400,2332
"52.4149923219648, 13.5772419451111","52.5136642, 13.4727613",15516,2295
"52.4149923219648, 13.5772419451111","52.5016098, 13.381181",20167,4369
"52.4149923219648, 13.5772419451111","52.5214137, 13.4034811",19439,2988
"52.4149923219648, 13.5772419451111","52.5176913, 13.4419715",20171,3246
"52.4149923219648, 13.5772419451111","52.517699, 13.3970326",23537,3688
"52.4149923219648, 13.5772419451111","52.5303108, 13.3186121",28204,4093
"52.4149923219648, 13.5772419451111","52.5146378, 13.3905283",21269,3303
"52.4149923219648, 13.5772419451111","52.5145186, 13.487322",17376,3036
"52.4149923219648, 13.5772419451111","52.5170316, 13.4012274",23644,3702
"52.4149923219648, 13.5772419451111","52.5207714, 13.3889021",20696,2811
"52.4149923219648, 13.5772419451111","52.5027268, 13.4453492",15763,3317
"52.4149923219648, 13.5772419451111","52.5284267, 13.3720175",22311,3297
"52.4149923219648, 13.5772419451111","52.5209131, 13.3871461",20530,2739
"52.4149923219648, 13.5772419451111","52.5304903, 13.3791152",22324,3649
"52.4149923219648, 13.5772419451111","52.4864896, 13.4217418",20081,3656
"52.4149923219648, 13.5772419451111","52.5215057, 13.4069139",18841,2724
"52.4149923219648, 13.5772419451111","52.5174377, 13.3898033",20987,3052
"52.4149923219648, 13.5772419451111","52.5111669, 13.4430356",16042,2833
"52.4149923219648, 13.5772419451111","52.5076615, 13.454537",15731,2568
"52.4149923219648, 13.5772419451111","52.5121441, 13.3083771",27411,4246
"52.4149923219648, 13.5772419451111","52.5087884, 13.378434",20900,4622
"52.4149923219648, 13.5772419451111","52.5019061, 13.3308361",25883,3881
"52.4149923219648, 13.5772419451111","52.5088651, 13.2707514",33997,4717
"52.4149923219648, 13.5772419451111","52.5264743, 13.39691",20088,3503
"52.4149923219648, 13.5772419451111","52.5106807, 13.419484",17381,3453
"52.4149923219648, 13.5772419451111","52.4602228, 13.5056519",8506,1919
"52.4149923219648, 13.5772419451111","52.474199, 13.141735",48914,7347
"52.4149923219648, 13.5772419451111","52.5021802, 13.364582",21309,4914
"52.4149923219648, 13.5772419451111","52.5205791, 13.4089041",18735,2616
"52.4149923219648, 13.5772419451111","52.4986678, 13.3566505",23922,5225
"52.4149923219648, 13.5772419451111","52.520848, 13.4084747",18738,2618
"52.4149923219648, 13.5772419451111","52.49694, 13.4540533",15207,3096
"52.4149923219648, 13.5772419451111","52.4840199, 13.4053429",20290,4240
"52.4149923219648, 13.5772419451111","52.5049039, 13.4431471",16056,3577
"52.4149923219648, 13.5772419451111","52.524042, 13.402083",19443,2985
"52.4149923219648, 13.5772419451111","52.5071871, 13.390676",22316,3406
"52.4149923219648, 13.5772419451111","52.4583565, 13.2889441",29488,5396
"52.4149923219648, 13.5772419451111","52.5112074, 13.4169157",17572,3406
"52.4149923219648, 13.5772419451111","52.440493, 13.3911183",19494,4100
"52.3984355485955, 13.5480288576369","52.5075075, 13.3903737",39304,3663
"52.3984355485955, 13.5480288576369","52.5542753, 13.3785425",26025,4273
"52.3984355485955, 13.5480288576369","52.5063, 13.3840159",38958,3375
"52.3984355485955, 13.5480288576369","52.5206458, 13.2932877",44160,4581
"52.3984355485955, 13.5480288576369","52.5239216, 13.3888786",23142,3716
"52.3984355485955, 13.5480288576369","52.5168416, 13.3816742",39433,3598
"52.3984355485955, 13.5480288576369","52.5040556, 13.3379413",41768,4115
"52.3984355485955, 13.5480288576369","52.5090125, 13.3792937",38481,3007
"52.3984355485955, 13.5480288576369","52.4983661, 13.3605076",23249,4393
"52.3984355485955, 13.5480288576369","52.5478117, 13.3892456",25065,3718
"52.3984355485955, 13.5480288576369","52.5046782, 13.4490212",17519,2970
"52.3984355485955, 13.5480288576369","52.5136642, 13.4727613",17635,2933
"52.3984355485955, 13.5480288576369","52.5016098, 13.381181",39340,3394
"52.3984355485955, 13.5480288576369","52.5214137, 13.4034811",21558,3626
"52.3984355485955, 13.5480288576369","52.5176913, 13.4419715",22290,3884
"52.3984355485955, 13.5480288576369","52.517699, 13.3970326",25656,4326
"52.3984355485955, 13.5480288576369","52.5303108, 13.3186121",30323,4731
"52.3984355485955, 13.5480288576369","52.5146378, 13.3905283",23388,3941
"52.3984355485955, 13.5480288576369","52.5145186, 13.487322",19495,3674
"52.3984355485955, 13.5480288576369","52.5170316, 13.4012274",40916,3875
"52.3984355485955, 13.5480288576369","52.5207714, 13.3889021",22815,3449
"52.3984355485955, 13.5480288576369","52.5027268, 13.4453492",17919,3303
"52.3984355485955, 13.5480288576369","52.5284267, 13.3720175",40645,3707
"52.3984355485955, 13.5480288576369","52.5209131, 13.3871461",22649,3377
"52.3984355485955, 13.5480288576369","52.5304903, 13.3791152",41152,4075
"52.3984355485955, 13.5480288576369","52.4864896, 13.4217418",17439,3438
"52.3984355485955, 13.5480288576369","52.5215057, 13.4069139",20960,3362
"52.3984355485955, 13.5480288576369","52.5174377, 13.3898033",23106,3690
"52.3984355485955, 13.5480288576369","52.5111669, 13.4430356",18161,3471
"52.3984355485955, 13.5480288576369","52.5076615, 13.454537",17850,3206
"52.3984355485955, 13.5480288576369","52.5121441, 13.3083771",44779,4530
"52.3984355485955, 13.5480288576369","52.5087884, 13.378434",38428,2965
"52.3984355485955, 13.5480288576369","52.5019061, 13.3308361",28002,4519
"52.3984355485955, 13.5480288576369","52.5088651, 13.2707514",47487,5020
"52.3984355485955, 13.5480288576369","52.5264743, 13.39691",22207,4141
"52.3984355485955, 13.5480288576369","52.5106807, 13.419484",20405,3793
"52.3984355485955, 13.5480288576369","52.4602228, 13.5056519",9938,2029
"52.3984355485955, 13.5480288576369","52.474199, 13.141735",58361,7631
"52.3984355485955, 13.5480288576369","52.5021802, 13.364582",39521,3900
"52.3984355485955, 13.5480288576369","52.5205791, 13.4089041",20854,3254
"52.3984355485955, 13.5480288576369","52.4986678, 13.3566505",41533,4228
"52.3984355485955, 13.5480288576369","52.520848, 13.4084747",20857,3256
"52.3984355485955, 13.5480288576369","52.49694, 13.4540533",18013,3577
"52.3984355485955, 13.5480288576369","52.4840199, 13.4053429",19218,3996
"52.3984355485955, 13.5480288576369","52.5049039, 13.4431471",17922,3290
"52.3984355485955, 13.5480288576369","52.524042, 13.402083",21562,3623
"52.3984355485955, 13.5480288576369","52.5071871, 13.390676",39336,3691
"52.3984355485955, 13.5480288576369","52.4583565, 13.2889441",42193,4583
"52.3984355485955, 13.5480288576369","52.5112074, 13.4169157",20132,3567
"52.3984355485955, 13.5480288576369","52.440493, 13.3911183",17750,3521
"52.4986164641774, 13.6142641592347","52.5075075, 13.3903737",19241,3715
"52.4986164641774, 13.6142641592347","52.5542753, 13.3785425",20887,3914
"52.4986164641774, 13.6142641592347","52.5063, 13.3840159",20691,3780
"52.4986164641774, 13.6142641592347","52.5206458, 13.2932877",29010,4576
"52.4986164641774, 13.6142641592347","52.5239216, 13.3888786",21396,3523
"52.4986164641774, 13.6142641592347","52.5168416, 13.3816742",18510,2881
"52.4986164641774, 13.6142641592347","52.5040556, 13.3379413",26666,4265
"52.4986164641774, 13.6142641592347","52.5090125, 13.3792937",19651,3479
"52.4986164641774, 13.6142641592347","52.4983661, 13.3605076",22063,4030
"52.4986164641774, 13.6142641592347","52.5478117, 13.3892456",19592,3359
"52.4986164641774, 13.6142641592347","52.5046782, 13.4490212",16031,2648
"52.4986164641774, 13.6142641592347","52.5136642, 13.4727613",11860,2039
"52.4986164641774, 13.6142641592347","52.5016098, 13.381181",20389,3539
"52.4986164641774, 13.6142641592347","52.5214137, 13.4034811",20055,3154
"52.4986164641774, 13.6142641592347","52.5176913, 13.4419715",14001,2325
"52.4986164641774, 13.6142641592347","52.517699, 13.3970326",17367,2767
"52.4986164641774, 13.6142641592347","52.5303108, 13.3186121",24850,4372
"52.4986164641774, 13.6142641592347","52.5146378, 13.3905283",18161,2954
"52.4986164641774, 13.6142641592347","52.5145186, 13.487322",11447,2306
"52.4986164641774, 13.6142641592347","52.5170316, 13.4012274",17474,2781
"52.4986164641774, 13.6142641592347","52.5207714, 13.3889021",21069,3256
"52.4986164641774, 13.6142641592347","52.5027268, 13.4453492",16431,2981
"52.4986164641774, 13.6142641592347","52.5284267, 13.3720175",20349,3389
"52.4986164641774, 13.6142641592347","52.5209131, 13.3871461",20993,3177
"52.4986164641774, 13.6142641592347","52.5304903, 13.3791152",20863,3770
"52.4986164641774, 13.6142641592347","52.4864896, 13.4217418",20940,3940
"52.4986164641774, 13.6142641592347","52.5215057, 13.4069139",16963,2866
"52.4986164641774, 13.6142641592347","52.5174377, 13.3898033",17938,2819
"52.4986164641774, 13.6142641592347","52.5111669, 13.4430356",16673,3149
"52.4986164641774, 13.6142641592347","52.5076615, 13.454537",16362,2884
"52.4986164641774, 13.6142641592347","52.5121441, 13.3083771",26124,4525
"52.4986164641774, 13.6142641592347","52.5087884, 13.378434",19856,3620
"52.4986164641774, 13.6142641592347","52.5019061, 13.3308361",26597,4203
"52.4986164641774, 13.6142641592347","52.5088651, 13.2707514",32725,5117
"52.4986164641774, 13.6142641592347","52.5264743, 13.39691",20704,3669
"52.4986164641774, 13.6142641592347","52.5106807, 13.419484",18902,3321
"52.4986164641774, 13.6142641592347","52.4602228, 13.5056519",11944,3600
"52.4986164641774, 13.6142641592347","52.474199, 13.141735",49772,7813
"52.4986164641774, 13.6142641592347","52.5021802, 13.364582",20805,4015
"52.4986164641774, 13.6142641592347","52.5205791, 13.4089041",16840,2741
"52.4986164641774, 13.6142641592347","52.4986678, 13.3566505",22878,4223
"52.4986164641774, 13.6142641592347","52.520848, 13.4084747",16837,2739
"52.4986164641774, 13.6142641592347","52.49694, 13.4540533",16623,3405
"52.4986164641774, 13.6142641592347","52.4840199, 13.4053429",22038,4625
"52.4986164641774, 13.6142641592347","52.5049039, 13.4431471",16436,2968
"52.4986164641774, 13.6142641592347","52.524042, 13.402083",20059,3151
"52.4986164641774, 13.6142641592347","52.5071871, 13.390676",19203,3685
"52.4986164641774, 13.6142641592347","52.4583565, 13.2889441",31424,5178
"52.4986164641774, 13.6142641592347","52.5112074, 13.4169157",18629,3095
"52.4986164641774, 13.6142641592347","52.440493, 13.3911183",24685,4391
"52.5058326089679, 13.6111964882009","52.5075075, 13.3903737",23686,4116
"52.5058326089679, 13.6111964882009","52.5542753, 13.3785425",24785,4315
"52.5058326089679, 13.6111964882009","52.5063, 13.3840159",24881,4481
"52.5058326089679, 13.6111964882009","52.5206458, 13.2932877",33414,5496
"52.5058326089679, 13.6111964882009","52.5239216, 13.3888786",22330,3737
"52.5058326089679, 13.6111964882009","52.5168416, 13.3816742",17473,3270
"52.5058326089679, 13.6111964882009","52.5040556, 13.3379413",27600,4479
"52.5058326089679, 13.6111964882009","52.5090125, 13.3792937",23841,4180
"52.5058326089679, 13.6111964882009","52.4983661, 13.3605076",21026,4419
"52.5058326089679, 13.6111964882009","52.5478117, 13.3892456",23874,3995
"52.5058326089679, 13.6111964882009","52.5046782, 13.4490212",16965,2862
"52.5058326089679, 13.6111964882009","52.5136642, 13.4727613",10824,2428
"52.5058326089679, 13.6111964882009","52.5016098, 13.381181",24579,4240
"52.5058326089679, 13.6111964882009","52.5214137, 13.4034811",20989,3368
"52.5058326089679, 13.6111964882009","52.5176913, 13.4419715",12964,2714
"52.5058326089679, 13.6111964882009","52.517699, 13.3970326",16330,3156
"52.5058326089679, 13.6111964882009","52.5303108, 13.3186121",29921,5133
"52.5058326089679, 13.6111964882009","52.5146378, 13.3905283",17124,3343
"52.5058326089679, 13.6111964882009","52.5145186, 13.487322",10169,2444
"52.5058326089679, 13.6111964882009","52.5170316, 13.4012274",16437,3170
"52.5058326089679, 13.6111964882009","52.5207714, 13.3889021",22003,3470
"52.5058326089679, 13.6111964882009","52.5027268, 13.4453492",17365,3195
"52.5058326089679, 13.6111964882009","52.5284267, 13.3720175",23801,3933
"52.5058326089679, 13.6111964882009","52.5209131, 13.3871461",21927,3391
"52.5058326089679, 13.6111964882009","52.5304903, 13.3791152",23014,4335
"52.5058326089679, 13.6111964882009","52.4864896, 13.4217418",23263,4341
"52.5058326089679, 13.6111964882009","52.5215057, 13.4069139",20423,3368
"52.5058326089679, 13.6111964882009","52.5174377, 13.3898033",16901,3208
"52.5058326089679, 13.6111964882009","52.5111669, 13.4430356",17607,3363
"52.5058326089679, 13.6111964882009","52.5076615, 13.454537",17296,3098
"52.5058326089679, 13.6111964882009","52.5121441, 13.3083771",29171,4926
"52.5058326089679, 13.6111964882009","52.5087884, 13.378434",23833,4148
"52.5058326089679, 13.6111964882009","52.5019061, 13.3308361",27531,4417
"52.5058326089679, 13.6111964882009","52.5088651, 13.2707514",33659,5331
"52.5058326089679, 13.6111964882009","52.5264743, 13.39691",21638,3883
"52.5058326089679, 13.6111964882009","52.5106807, 13.419484",19836,3535
"52.5058326089679, 13.6111964882009","52.4602228, 13.5056519",12878,3814
"52.5058326089679, 13.6111964882009","52.474199, 13.141735",50706,8027
"52.5058326089679, 13.6111964882009","52.5021802, 13.364582",25090,4896
"52.5058326089679, 13.6111964882009","52.5205791, 13.4089041",20317,3260
"52.5058326089679, 13.6111964882009","52.4986678, 13.3566505",21841,4612
"52.5058326089679, 13.6111964882009","52.520848, 13.4084747",20320,3262
"52.5058326089679, 13.6111964882009","52.49694, 13.4540533",17557,3619
"52.5058326089679, 13.6111964882009","52.4840199, 13.4053429",22972,4839
"52.5058326089679, 13.6111964882009","52.5049039, 13.4431471",17370,3182
"52.5058326089679, 13.6111964882009","52.524042, 13.402083",20993,3365
"52.5058326089679, 13.6111964882009","52.5071871, 13.390676",23648,4086
"52.5058326089679, 13.6111964882009","52.4583565, 13.2889441",33609,5579
