"origin","destination","distance","time"
"52.4200898687858, 13.176303161968","52.5040556, 13.3379413",16033,1800
"52.4200898687858, 13.176303161968","52.5090125, 13.3792937",19928,2590
"52.4200898687858, 13.176303161968","52.4983661, 13.3605076",18109,2180
"52.4200898687858, 13.176303161968","52.5478117, 13.3892456",24729,2889
"52.4200898687858, 13.176303161968","52.5046782, 13.4490212",25740,2928
"52.4200898687858, 13.176303161968","52.5136642, 13.4727613",26801,3425
"52.4200898687858, 13.176303161968","52.5016098, 13.381181",19071,2380
"52.4200898687858, 13.176303161968","52.5214137, 13.4034811",21759,2402
"52.4200898687858, 13.176303161968","52.5176913, 13.4419715",24723,3215
"52.4200898687858, 13.176303161968","52.517699, 13.3970326",21241,2599
"52.4200898687858, 13.176303161968","52.5303108, 13.3186121",19225,2763
"52.4200898687858, 13.176303161968","52.5146378, 13.3905283",21032,2453
"52.4200898687858, 13.176303161968","52.5145186, 13.487322",27977,3856
"52.4200898687858, 13.176303161968","52.5170316, 13.4012274",21709,2771
"52.4200898687858, 13.176303161968","52.5207714, 13.3889021",20473,1982
"52.4200898687858, 13.176303161968","52.5027268, 13.4453492",26140,3262
"52.4200898687858, 13.176303161968","52.5284267, 13.3720175",19418,2081
"52.4200898687858, 13.176303161968","52.5209131, 13.3871461",20380,1904
"52.4200898687858, 13.176303161968","52.5304903, 13.3791152",22109,2538
"52.4200898687858, 13.176303161968","52.4864896, 13.4217418",26989,3150
"52.4200898687858, 13.176303161968","52.5215057, 13.4069139",22373,2333
"52.4200898687858, 13.176303161968","52.5174377, 13.3898033",20750,2202
"52.4200898687858, 13.176303161968","52.5111669, 13.4430356",25199,3138
"52.4200898687858, 13.176303161968","52.5076615, 13.454537",26085,3198
"52.4200898687858, 13.176303161968","52.5121441, 13.3083771",17566,2175
"52.4200898687858, 13.176303161968","52.5087884, 13.378434",19865,2558
"52.4200898687858, 13.176303161968","52.5019061, 13.3308361",16040,1816
"52.4200898687858, 13.176303161968","52.5088651, 13.2707514",20274,2665
"52.4200898687858, 13.176303161968","52.5264743, 13.39691",21653,2795
"52.4200898687858, 13.176303161968","52.5106807, 13.419484",23799,2750
"52.4200898687858, 13.176303161968","52.4602228, 13.5056519",34682,3952
"52.4200898687858, 13.176303161968","52.474199, 13.141735",28638,5231
"52.4200898687858, 13.176303161968","52.5021802, 13.364582",18496,2493
"52.4200898687858, 13.176303161968","52.5205791, 13.4089041",22267,2225
"52.4200898687858, 13.176303161968","52.4986678, 13.3566505",17575,2181
"52.4200898687858, 13.176303161968","52.520848, 13.4084747",22270,2227
